GME,GME,GME,GME,GME,GME,GME,AMC,AMC,AMC,AMC,AMC,AMC,AMC,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,BBBY,BBBY,BBBY,BBBY,BBBY,BBBY,BBBY,HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,BB,BB,BB,BB,BB,BB,BB,PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,NOK,NOK,NOK,NOK,NOK,NOK,NOK,SPCE,SPCE,SPCE,SPCE,SPCE,SPCE,SPCE
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
22.06,22.44,21.98,22.38,3663608,20675,22.272443,30.35,30.6,29.95,30.2,1097425,7171,30.181658,296.7,307.39,295.3,304.0,9284764,75453,301.472375,38.34,38.63,38.05,38.39,2190675,19502,38.341906,,,,,,,,,,,,,,,,,,,,,,5.26,5.29,5.22,5.22,7600357,11819,5.255388,,,,,,,
22.45,22.95,22.4,22.89,3554452,19178,22.766778,30.45,30.7,30.3,30.7,582622,4033,30.54691,302.7,304.0,298.68,301.44,4138836,37467,301.270741,38.62,38.73,38.18,38.43,2011481,16283,38.429822,,,,,,,,,,,,,,,,,,,,,,5.23,5.29,5.23,5.26,3136272,5609,5.26167,,,,,,,
22.84,22.98,22.61,22.84,1986277,11604,22.800337,30.6,30.7,30.2,30.5,630365,4710,30.368977,299.7,300.8399,297.9,300.25,3060698,27100,299.833208,38.29,38.77,38.11,38.42,1650477,15384,38.46987,,,,,,,,,,,,,,,,,,,,,,5.24,5.26,5.19,5.23,6489946,9581,5.221017,,,,,,,
22.92,23.13,22.76,22.78,1680470,11852,22.911681,30.55,30.7,30.225,30.4,723811,4745,30.386209,302.46,306.62,302.11,305.52,3898024,36505,304.925327,38.55,39.515,38.5,39.11,2234109,20117,39.253684,,,,,,,,,,,,,,,,,,,,,,5.22,5.235,5.17,5.17,11528578,12300,5.201381,,,,,,,
22.95,23.425,22.9499,23.19,1906598,10961,23.209722,30.6,31.45,30.5,30.95,1963344,12224,31.014014,306.7,309.15,300.23,302.51,6149353,54954,304.462716,39.24,40.24,39.24,39.93,2847726,24574,39.902304,,,,,,,,,,,,,,,,,,,,,,5.29,5.33,5.25,5.27,20536768,19494,5.283034,,,,,,,
23.24,23.27,22.94,23.19,1766850,12705,23.133162,31.0,31.2,30.6,30.9,986500,4883,30.850095,302.0,306.4,300.42,305.6,4534756,36926,304.128977,40.02,40.04,39.66,39.8,1880327,17079,39.812568,,,,,,,,,,,,,,,,,,,,,,5.24,5.24,5.17,5.22,14272740,11814,5.204902,,,,,,,
23.4,23.49,22.96,23.22,2716511,17956,23.179487,31.2,31.2,30.45,30.7,1428524,8325,30.714964,309.34,310.55,306.0215,308.03,5084205,45574,308.094785,40.22,40.33,39.64,39.69,2632740,22665,39.869808,,,,,,,,,,,,,,,,,,,,,,5.4,5.42,5.35,5.38,27273168,19867,5.381788,,,,,,,
23.32,23.49,23.1,23.4,1441960,10182,23.334997,30.9,31.3,30.85,31.0,836945,5669,31.064725,308.0,313.98,305.86,313.79,6787708,61699,310.757102,39.8,39.9699,39.14,39.36,1927371,17654,39.469632,,,,,,,,,,,,,,,,,,,,,,5.44,5.455,5.4,5.43,23616483,19544,5.432285,,,,,,,
23.44,23.975,23.31,23.65,2211649,14101,23.752139,31.0,31.4,30.85,31.2,1092106,6458,31.256649,312.37,314.5,309.0,310.17,4705044,38266,311.344765,39.28,39.89,39.28,39.39,2058029,16453,39.558516,,,,,,,,,,,,,,,,,,,,,,5.4,5.44,5.36,5.37,23298584,21660,5.400281,,,,,,,
